,name,location,propertyCount,linkPath
0,Acton,London,9,london/acton
1,Aldgate,London,35,london/aldgate
2,Angel,London,35,london/angel
3,Barbican,London,42,london/barbican
4,Barking,London,0,london/barking
5,Barkingside,London,1,london/barkingside
6,Bayswater,London,8,london/bayswater
7,Bloomsbury,London,30,london/bloomsbury
8,Camberwell,London,19,london/camberwell
9,Camden,London,21,london/camden
10,Canary Wharf,London,7,london/canary-wharf
11,Canning Town,London,4,london/canning-town
12,Chiswick,London,4,london/chiswick
13,Clapham,London,8,london/clapham
14,Ealing,London,1,london/ealing
15,Elephant & Castle,London,31,london/elephant-&-castle
16,Euston,London,24,london/euston
17,Fitzrovia,London,24,london/fitzrovia
18,Fulham,London,9,london/fulham
19,Hackney,London,10,london/hackney
20,Hampstead,London,5,london/hampstead
21,Harrow,London,0,london/harrow
22,Kensington,London,13,london/kensington
23,Kilburn,London,4,london/kilburn
24,Kingsbury,London,5,london/kingsbury
25,Limehouse,London,13,london/limehouse
26,London Bridge,London,39,london/london-bridge
27,Marylebone,London,18,london/marylebone
28,Morden,London,1,london/morden
29,North Acton,London,8,london/north-acton
30,Peckham,London,10,london/peckham
31,Shepherds Bush,London,11,london/shepherds-bush
32,Southwark,London,25,london/southwark
33,Twickenham,London,0,london/twickenham
34,Wapping,London,24,london/wapping
35,Woolwich,London,1,london/woolwich
